"COU","Country","IND","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",13.37,,
"AUS","Australia","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",15.64,,
"AUS","Australia","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",21.19,,
"AUS","Australia","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",23.93,,
"AUS","Australia","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",29,,
"AUS","Australia","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",33.51,,
"AUS","Australia","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",34.69,,
"AUS","Australia","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",39.18,,
"AUS","Australia","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",40.18,,
"AUS","Australia","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",41.11,,
"AUS","Australia","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",42.61,,
"AUS","Australia","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",42.52,,
"AUT","Austria","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",68.96,,
"AUT","Austria","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",74.19,,
"AUT","Austria","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",86.33,,
"AUT","Austria","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",90.54,,
"AUT","Austria","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",91.47,,
"AUT","Austria","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",99.37,,
"AUT","Austria","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",96.53,,
"AUT","Austria","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",104.43,,
"AUT","Austria","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",103.54,,
"AUT","Austria","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",103.67,,
"AUT","Austria","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",97.12,,
"AUT","Austria","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",91.49,,
"BEL","Belgium","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",94.14,,
"BEL","Belgium","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",101.47,,
"BEL","Belgium","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",109.84,,
"BEL","Belgium","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",107.98,,
